Odmiany;Rok wyników; Typ; Rok rejestracji; Wartość browarna; Plon Ziarna a1; Plon Ziarna a2; MZT; Wyrównanie ziarna; Wysokość roślin; Dojrzałość pełna; Wyleganie; Mączniak prawdziwy; Plamistość siatkowa; Rdza jęczmienia; Rynchospiroza; Czarna plamistość; Zawartość białka
Podarek;2020;pastewny;2014;0;57,90;65,40;48,20;80;74;201;6;3;6;5;5;5;6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
PoloniaStaropolska;2020;pastewny;2016;0;60,10;69,80;44,50;71;63;200;5;2;5;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Radek;2020;pastewny;2015;0;61,80;68;47,10;80;74;201;5;6;6;6;5;6;5;82,3;71,3;62,5;65,2;55,6;62,2;85,5;81,6;70,1;77,8;63,3;70,1;
Ramzes;2020;pastewny;2017;0;60,20;65,60;44,90;84;73;202;5;6;6;4;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Raptus;2020;pastewny;2019;0;59,60;68;46,60;79;70;201;4;6;4;5;5;5;5;73,6;70,3;61,9;63,9;53,1;53,8;79,5;87,6;69,5;80,1;61,7;72,8;
Rezus;2020;pastewny;2018;0;62,30;70;48,10;85;73;200;5;3;6;5;5;5;5;78,0;70,3;62,4;68,2;56,6;61,8;82,5;87,2;69,8;81,5;66,1;73,4;
Ringo;2020;pastewny;2016;0;57,70;67,10;46;71;68;200;5;5;3;5;5;5;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Rubaszek;2020;pastewny;2014;0;61,50;68,80;45,40;77;68;201;6;5;6;5;5;5;5;77,0;69,8;60,3;69,4;51,8;58,1;87,5;91,6;70,4;78,1;61,4;70,0;
Runner;2020;pastewny;2018;0;61,70;69,20;49,70;80;68;200;5;6;5;5;5;5;4;77,0;69,4;65,4;67,0;54,4;59,1;82,5;83,9;72,3;75,8;60,4;71,4;
Salome;2020;pastewny;2014;0;61,40;68,70;47,50;81;67;201;5;6;5;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Soldo;2020;pastewny;2013;0;61,10;69,20;50,90;85;69;201;6;6;5;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Teksas;2020;pastewny;2017;0;59,30;67,30;45,50;81;68;201;5;5;6;4;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Accordine;2021;browany;2017;7,95;63,10;68,20;45,30;77;77;200;4;6;4;6;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Amidala;2021;browany;2020;7,80;64,60;72,70;49,60;81;74;200;5;6;4;5;5;5;6;50,8;60,4;56,2;65,3;74,2;78,0;57,3;73,3;58,6;73,3;82,1;86,1;
Avus;2021;browany;2021;8,10;62,80;72,10;49,30;86;78;201;5;6;4;6;6;5;5;47,2;62,3;53,4;68,0;76,0;75,8;55,5;73,7;55,8;74,7;84,6;87,0;
Esma;2021;browany;2017;7;63,10;71,90;46,80;75;73;200;5;6;6;5;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Fandaga;2021;browany;2019;7;60,50;68,80;46,20;78;72;200;4;6;6;4;6;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSIrina;2021;browany;2014;6,80;63,10;70,10;45,20;76;69;201;6;5;5;6;5;4;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
KWSJessie;2021;browany;2021;7,55;63,50;73,40;43,80;78;70;200;5;6;3;5;6;5;4;50,4;60,2;53,9;65,4;71,7;73,9;59,4;72,3;56,7;74,8;81,6;88,2;
Ovation;2021;browany;2017;6,55;63,10;68,40;44,80;77;72;201;4;6;5;4;5;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
RGTKepler;2021;browany;2021;6,55;64,10;74,90;47,10;78;72;201;7;6;4;5;6;6;5;48,7;60,7;56,9;69,4;71,3;73,0;56,4;72,1;60,7;77,5;82,9;86,3;
RGTPlanet;2021;browany;2016;7,80;63,40;72,30;45,50;78;75;200;4;5;5;5;6;5;5;48,3;58,7;56,9;65,4;74,2;71,8;59,4;74,0;58,9;74,5;82,2;85,1;
RGTYlesia;2021;browany;2020;7,15;63,30;72,60;43,90;72;70;200;5;5;4;5;6;5;5;51,2;55,4;53,5;68,1;71,7;75,4;61,2;68,6;58,3;75,4;82,1;89,1;
Adwokat;2021;pastewny;2020;0;64;72,20;46,40;78;68;200;6;6;5;5;5;5;6;46,6;59,8;55,9;65,8;72,6;74,9;54,7;72,6;59,2;72,2;82,7;86,6;
Airway;2021;pastewny;2017;0;62,30;69,80;43,60;76;74;200;6;6;5;5;6;5;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Allianz;2021;pastewny;2016;0;63,10;68,20;44;81;75;201;4;6;5;4;5;5;6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
Avatar;2021;pastewny;2019;0;62,90;71,30;45,40;74;76;200;5;4;6;5;5;5;6;50,5;58,5;54,5;66,3;73,1;70,4;55,0;71,9;58,5;74,1;82,1;84,7;
Bente;2021;pastewny;2017;0;65,70;74,50;48,50;81;75;200;5;4;5;5;5;5;5;51,1;61,7;60,4;69,5;78,9;76,3;57,6;75,6;62,6;77,9;88,0;89,4;
